Название кампании;Группа объявлений;Регион;Ключевая фраза;Тип соответствия;Заголовок 1;Заголовок 2;Текст объявления;Отображаемая ссылка;Ссылка на сайт;Быстрая ссылка 1 - Текст;Быстрая ссылка 2 - Текст;Быстрая ссылка 3 - Текст;Быстрая ссылка 4 - Текст
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;срочно продать машину хабаровск;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=srochno_prodaty";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;выкуп авто хабаровск срочно;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=vikup_srochno";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;куда продать авто хабаровск;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=kuda_prodaty";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;продать машину срочно за наличные;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/srochnyj-vykup-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=za_nalichniye";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Срочный выкуп;Хабаровск;автовыкуп хабаровск;Фразовое;"Срочный выкуп авто за 15 минут";"Деньги сразу наличными!";"Выкупаем авто в любом состоянии. Битые, кредитные, без документов. На 15% дороже конкурентов. Оценка бесплатно. Выезд по краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=avtovikup";"Узнать цену авто";"Позвонить";"Битые авто";"Кредитные авто"
Поиск - Горячий спрос;Битые авто;Хабаровск;выкуп битых авто хабаровск;Фразовое;"Выкуп битых авто за 15 минут";"На 15% дороже конкурентов";"Покупаем авто после ДТП в любом состоянии. Оценка за 15 минут. Деньги сразу наличными. Эвакуация бесплатно. Работаем по всему краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=bitie";"После ДТП";"Не на ходу";"Оценка онлайн";"Позвонить"
Поиск - Горячий спрос;Битые авто;Хабаровск;выкуп авто после дтп хабаровск;Фразовое;"Выкуп битых авто за 15 минут";"На 15% дороже конкурентов";"Покупаем авто после ДТП в любом состоянии. Оценка за 15 минут. Деньги сразу наличными. Эвакуация бесплатно. Работаем по всему краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=posle_dtp";"После ДТП";"Не на ходу";"Оценка онлайн";"Позвонить"
Поиск - Горячий спрос;Битые авто;Хабаровск;выкуп аварийных авто хабаровск;Фразовое;"Выкуп битых авто за 15 минут";"На 15% дороже конкурентов";"Покупаем авто после ДТП в любом состоянии. Оценка за 15 минут. Деньги сразу наличными. Эвакуация бесплатно. Работаем по всему краю.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-bityh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=avarijnie";"После ДТП";"Не на ходу";"Оценка онлайн";"Позвонить"
Поиск - Горячий спрос;Кредитные авто;Хабаровск;выкуп кредитных авто хабаровск;Фразовое;"Выкуп авто в кредите за 1 день";"Поможем закрыть кредит в банке";"Выкупаем кредитные автомобили. Работаем с банками напрямую. Закрываем кредит за вас. Разница — вам сразу. Оформление 30 минут.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-kreditnyh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=kreditnie";"В кредите";"Закрыть кредит";"Оценка авто";"Позвонить"
Поиск - Горячий спрос;Кредитные авто;Хабаровск;продать машину в кредите хабаровск;Фразовое;"Выкуп авто в кредите за 1 день";"Поможем закрыть кредит в банке";"Выкупаем кредитные автомобили. Работаем с банками напрямую. Закрываем кредит за вас. Разница — вам сразу. Оформление 30 минут.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-kreditnyh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=prodaty_kredit";"В кредите";"Закрыть кредит";"Оценка авто";"Позвонить"
Поиск - Горячий спрос;Кредитные авто;Хабаровск;выкуп авто с долгом хабаровск;Фразовое;"Выкуп авто в кредите за 1 день";"Поможем закрыть кредит в банке";"Выкупаем кредитные автомобили. Работаем с банками напрямую. Закрываем кредит за вас. Разница — вам сразу. Оформление 30 минут.";avtovykupkhb27.ru;"https://avtovykupkhb27.ru/vykup-kreditnyh-avto?utm_source=yandex&utm_medium=cpc&utm_campaign=search_hot&utm_term=s_dolgom";"В кредите";"Закрыть кредит";"Оценка авто";"Позвонить"
